subject,pipeline,accuracy,kappa,cm,gt,pred
1,scratch,0.4319148936170213,0.24523850893489618,"[[ 38 155   5 152]
 [  3 303   0  39]
 [  9 319  18  14]
 [ 19  84   2 250]]",[1 1 1 ... 1 1 1],[3 3 3 ... 1 1 1]
1,cluster,0.4787234042553192,0.30487130041083255,"[[107   0   0 243]
 [  1 146   0 198]
 [ 10 161  99  90]
 [ 32   0   0 323]]",[1 1 1 ... 1 1 1],[3 3 1 ... 1 1 1]
1,global,0.6560283687943262,0.5419532877418836,"[[189  97  59   5]
 [  6 320  19   0]
 [  2  81 274   3]
 [117  74  22 142]]",[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
2,scratch,0.24822695035460993,0.0,"[[350   0   0   0]
 [345   0   0   0]
 [360   0   0   0]
 [355   0   0   0]]",[1 1 1 ... 1 1 1],[0 0 0 ... 0 0 0]
2,cluster,0.24468085106382978,0.0,"[[  0 350   0   0]
 [  0 345   0   0]
 [  0 360   0   0]
 [  0 355   0   0]]",[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
2,global,0.3276595744680851,0.09782535332946374,"[[102   0 248   0]
 [  7   0 338   0]
 [  0   0 360   0]
 [  3   0 352   0]]",[1 1 1 ... 1 1 1],[2 2 2 ... 2 2 2]
3,scratch,0.25177304964539005,0.004736958310752493,"[[350   0   0   0]
 [341   4   0   0]
 [356   3   1   0]
 [354   1   0   0]]",[1 1 1 ... 1 1 1],[0 0 0 ... 0 0 0]
3,cluster,0.5595744680851064,0.41247043430124297,"[[288   3  59   0]
 [ 69 157 119   0]
 [ 18   9 333   0]
 [224  83  37  11]]",[1 1 1 ... 1 1 1],[2 0 0 ... 1 1 2]
3,global,0.5553191489361702,0.4075868446445804,"[[115  99 110  26]
 [  1 299  41   4]
 [  0  88 270   2]
 [ 39 155  62  99]]",[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 2]
4,scratch,0.2553191489361702,0.0,"[[  0   0 350   0]
 [  0   0 340   0]
 [  0   0 360   0]
 [  0   0 360   0]]",[3 3 3 ... 2 2 2],[2 2 2 ... 2 2 2]
