pipeline,subject,run,accuracy,kappa,confusion_matrix
scratch,1,0,0.2453900709219858,0.0009289874037298196,"[[  0 350   0   0]
 [  0 345   0   0]
 [  0 359   1   0]
 [  0 355   0   0]]"
scratch,2,0,0.2560283687943262,0.0010029887037131813,"[[  0   0 349   1]
 [  3   0 341   1]
 [  0   0 358   2]
 [  1   0 351   3]]"
scratch,3,0,0.24468085106382978,0.0,"[[  0 350   0   0]
 [  0 345   0   0]
 [  0 360   0   0]
 [  0 355   0   0]]"
scratch,4,0,0.24397163120567375,0.0032890810466705833,"[[  0 338   0  12]
 [  0 334   0   6]
 [  0 355   0   5]
 [  2 348   0  10]]"
scratch,5,0,0.251063829787234,-2.0148697386757064e-05,"[[  0  36   0 314]
 [  0  32   0 313]
 [  0  37   0 323]
 [  0  33   0 322]]"
scratch,6,0,0.24397163120567375,-0.0014324643049883345,"[[  1 341   8   0]
 [  0 332  13   0]
 [  0 349  11   0]
 [  0 338  17   0]]"
scratch,7,0,0.25673758865248225,0.01388402286309176,"[[ 43 257   6  44]
 [ 39 260   9  37]
 [ 42 268   9  41]
 [ 63 232  10  50]]"
scratch,8,0,0.24822695035460993,0.0,"[[350   0   0   0]
 [345   0   0   0]
 [360   0   0   0]
 [355   0   0   0]]"
scratch,9,0,0.24822695035460993,0.0,"[[350   0   0   0]
 [345   0   0   0]
 [360   0   0   0]
 [355   0   0   0]]"
scratch,1,1,0.2475177304964539,0.002739780817534676,"[[  0 330  20   0]
 [  0 324  21   0]
 [  0 335  25   0]
 [  0 319  36   0]]"
scratch,2,1,0.2531914893617021,-0.0025625702681078,"[[  2   0 328  20]
 [  3   0 323  19]
 [  1   0 339  20]
 [  0   0 339  16]]"
scratch,3,1,0.24468085106382978,0.0,"[[  0 350   0   0]
 [  0 345   0   0]
 [  0 360   0   0]
 [  0 355   0   0]]"
scratch,4,1,0.26170212765957446,0.024224696692703995,"[[ 14 270  17  49]
 [  2 300   8  30]
 [  7 312   7  34]
 [ 12 288  12  48]]"
scratch,5,1,0.2652482269503546,0.017563682219420174,"[[ 46   0  72 232]
 [ 44   0  67 234]
 [ 39   0  85 236]
 [ 36   0  76 243]]"
scratch,6,1,0.2553191489361702,0.0,"[[  0   0 350   0]
 [  0   0 345   0]
 [  0   0 360   0]
 [  0   0 355   0]]"
scratch,7,1,0.251063829787234,-0.00392410696225598,"[[  0  43 305   2]
 [  0  42 300   3]
 [  0  48 310   2]
 [  0  40 313   2]]"
scratch,8,1,0.24822695035460993,0.0,"[[350   0   0   0]
 [345   0   0   0]
 [360   0   0   0]
 [355   0   0   0]]"
scratch,9,1,0.24822695035460993,0.0,"[[350   0   0   0]
 [345   0   0   0]
 [360   0   0   0]
 [355   0   0   0]]"
scratch,1,2,0.2553191489361702,0.0,"[[  0   0 350   0]
 [  0   0 345   0]
 [  0   0 360   0]
 [  0   0 355   0]]"
scratch,2,2,0.251063829787234,-0.0037007826245223363,"[[  0  52 298   0]
 [  0  45 300   0]
 [  0  51 309   0]
 [  0  50 305   0]]"
scratch,3,2,0.2475177304964539,0.0030687418158557023,"[[  0 335  15   0]
 [  0 331  14   0]
 [  0 342  18   0]
 [  0 333  22   0]]"
scratch,4,2,0.25886524822695034,0.0048828916443794945,"[[  8   0 342   0]
 [  2   0 338   0]
 [  3   0 357   0]
 [  5   0 355   0]]"
scratch,5,2,0.24822695035460993,0.0,"[[350   0   0   0]
 [345   0   0   0]
 [360   0   0   0]
 [355   0   0   0]]"
scratch,6,2,0.22695035460992907,-0.02544086150643521,"[[121 229   0   0]
 [146 199   0   0]
 [162 198   0   0]
 [147 208   0   0]]"
scratch,7,2,0.2631205673758865,0.016712643215270884,"[[  0 167 183   0]
 [  0 174 171   0]
 [  0 163 197   0]
 [  0 122 233   0]]"
scratch,8,2,0.24113475177304963,-0.009265143659898945,"[[336  14   0   0]
 [341   4   0   0]
 [347  13   0   0]
 [336  19   0   0]]"
scratch,9,2,0.24326241134751772,-0.01319980873746518,"[[  0  80 270   0]
 [  1  66 278   0]
 [  0  83 277   0]
 [  1  61 293   0]]"
global,1,0,0.4531914893617021,0.2679344642051462,"[[ 13  26  78 233]
 [  8  19 231  87]
 [  3   9 323  25]
 [  7  15  49 284]]"
global,2,0,0.30921985815602837,0.08201038749222955,"[[111 149  81   9]
 [ 50 237  51   7]
 [ 34 237  82   7]
 [ 40 246  63   6]]"
global,3,0,0.47375886524822697,0.29696603165003543,"[[ 12  76  55 207]
 [  8  91 109 137]
 [ 19  51 246  44]
 [  2  29   5 319]]"
global,4,0,0.2765957446808511,0.03028096365070687,"[[ 48   2   0 300]
 [ 28  22   0 290]
 [ 40  24   0 296]
 [ 27  11   2 320]]"
global,5,0,0.2723404255319149,0.034787830264211395,"[[  1 285  27  37]
 [  0 293  25  27]
 [  0 306  25  29]
 [  4 280   6  65]]"
global,6,0,0.3028368794326241,0.06763220030001937,"[[ 38  41 162 109]
 [ 22  50 166 107]
 [ 28  57 197  78]
 [ 40  26 147 142]]"
global,7,0,0.41702127659574467,0.22187572381428733,"[[105  12  52 181]
 [ 81  80 116  68]
 [ 66 101 131  62]
 [ 63   3  17 272]]"
global,8,0,0.2822695035460993,0.04106449824431713,"[[ 28  51 139 132]
 [ 42  52 161  90]
 [ 37  72 135 116]
 [ 37  57  78 183]]"
global,9,0,0.3595744680851064,0.14857748517969915,"[[ 48 157  11 134]
 [ 46 242   2  55]
 [ 43 201  14 102]
 [ 23 123   6 203]]"
global,1,1,0.46099290780141844,0.2780727047347006,"[[ 31   3  91 225]
 [ 19   2 244  80]
 [  5   1 328  26]
 [  9   2  55 289]]"
global,2,1,0.31063829787234043,0.08188858222353212,"[[ 99  95 131  25]
 [ 38 179  96  32]
 [ 28 180 129  23]
 [ 35 193  96  31]]"
global,3,1,0.48156028368794324,0.3079115677091202,"[[ 27  85  40 198]
 [ 20 118  79 128]
 [ 30  68 222  40]
 [  7  32   4 312]]"
global,4,1,0.30638297872340425,0.07633879232392238,"[[ 71  95   3 181]
 [ 32 163   9 136]
 [ 37 146  14 163]
 [ 43 127   6 184]]"
global,5,1,0.2773049645390071,0.0365293894780605,"[[ 31 137 138  44]
 [ 18 154 134  39]
 [  7 176 136  41]
 [ 34 126 125  70]]"
global,6,1,0.30851063829787234,0.07374031040395645,"[[ 13  18 244  75]
 [  6  43 225  71]
 [ 10  34 277  39]
 [ 14  27 212 102]]"
global,7,1,0.4156028368794326,0.22043519394512767,"[[160  12  45 133]
 [103  80 109  53]
 [ 81 104 122  53]
 [110   5  16 224]]"
global,8,1,0.2886524822695035,0.05215325275041982,"[[213  25  31  81]
 [239  21  32  53]
 [217  34  34  75]
 [169  15  32 139]]"
global,9,1,0.32978723404255317,0.10967302224731634,"[[ 33 205   0 112]
 [ 52 247   0  46]
 [ 40 233   0  87]
 [ 28 142   0 185]]"
global,1,2,0.4375886524822695,0.24681973264535606,"[[ 44   3 105 198]
 [ 14   5 251  75]
 [  5   4 331  20]
 [ 54   3  61 237]]"
global,2,2,0.300709219858156,0.06776859504132227,"[[ 66  89 195   0]
 [ 27 179 139   0]
 [ 14 167 179   0]
 [ 29 196 130   0]]"
global,3,2,0.49929078014184397,0.3308506705206198,"[[100  21  67 162]
 [ 72  53 122  98]
 [ 56  18 259  27]
 [ 37  15  11 292]]"
global,4,2,0.27163120567375887,0.025891992250565043,"[[ 45  28 215  62]
 [ 24  85 198  33]
 [ 36  73 198  53]
 [ 35  47 223  55]]"
global,5,2,0.27375886524822696,0.028100041397833286,"[[ 32  42 246  30]
 [ 29  54 244  18]
 [ 25  77 236  22]
 [ 24  48 219  64]]"
global,6,2,0.2872340425531915,0.04789900157222149,"[[  3  87 167  93]
 [  3 101 158  83]
 [  4 114 183  59]
 [  2  95 140 118]]"
global,7,2,0.42411347517730497,0.23084106184940234,"[[126   2  51 171]
 [ 96  40 143  66]
 [ 81  58 162  59]
 [ 66   1  18 270]]"
global,8,2,0.2872340425531915,0.05254289983853022,"[[101 151   3  95]
 [127 155   4  59]
 [ 94 178   0  88]
 [ 78 128   0 149]]"
global,9,2,0.3524822695035461,0.13898169049410591,"[[  1 191  38 120]
 [  0 289  16  40]
 [  3 227  42  88]
 [  1 127  62 165]]"
cluster0,1,0,0.25673758865248225,0.012770619891167345,"[[ 29 240  61  20]
 [ 25 247  59  14]
 [ 28 247  64  21]
 [ 27 254  52  22]]"
cluster0,2,0,0.25673758865248225,0.006387928831748768,"[[ 52  63 199  36]
 [ 43  71 212  19]
 [ 46  72 206  36]
 [ 45  74 203  33]]"
cluster0,3,0,0.27801418439716313,0.042818370354563484,"[[  1 312   9  28]
 [  3 309   2  31]
 [  3 321   3  33]
 [  3 267   6  79]]"
cluster0,4,0,0.275177304964539,0.03224246657219809,"[[ 58  83 106 103]
 [ 50  71 153  66]
 [ 42  94 148  76]
 [ 39  84 126 111]]"
cluster0,5,0,0.23191489361702128,-0.021489659878052292,"[[  0 207   7 136]
 [  0 166   7 172]
 [  0 178   1 181]
 [  0 193   2 160]]"
cluster0,6,0,0.25460992907801416,0.003948823250671141,"[[ 10   9   7 324]
 [  1   5   6 333]
 [  1   6   5 348]
 [  4   7   5 339]]"
cluster0,7,0,0.25460992907801416,0.003804862964432054,"[[  0   0   2 348]
 [  0   6   6 333]
 [  0   1   6 353]
 [  0   4   4 347]]"
cluster0,8,0,0.27092198581560284,0.031089780011898327,"[[193 124   6  27]
 [194 127   1  23]
 [230 103   2  25]
 [194  93   8  60]]"
cluster0,9,0,0.250354609929078,-0.00011407864716161953,"[[229   2 115   4]
 [230   1 110   4]
 [241   0 110   9]
 [249   1  92  13]]"
cluster0,1,1,0.2553191489361702,0.0028120632461650086,"[[ 94   2 239  15]
 [ 95   2 240   8]
 [ 94   2 258   6]
 [105   2 242   6]]"
cluster0,2,1,0.2560283687943262,0.00770840880730983,"[[119  67 107  57]
 [ 89  73  99  84]
 [105  87 105  63]
 [102  79 110  64]]"
cluster0,3,1,0.24893617021276596,0.005474853637580601,"[[  0 349   0   1]
 [  2 338   4   1]
 [  2 356   2   0]
 [  0 344   0  11]]"
cluster0,4,1,0.2815602836879433,0.04030074379665516,"[[ 34  96 121  99]
 [ 39  68 176  57]
 [ 27  83 184  66]
 [ 17  85 147 111]]"
cluster0,5,1,0.2347517730496454,-0.017996045486937007,"[[216  76  26  32]
 [232  66  16  31]
 [249  57  17  37]
 [233  70  20  32]]"
cluster0,6,1,0.2631205673758865,0.011434374652059542,"[[ 15  26 308   1]
 [  7  17 321   0]
 [  2  19 338   1]
 [  4  14 336   1]]"
cluster0,7,1,0.2297872340425532,-0.025169633083723664,"[[ 63 131  58  98]
 [ 64 141  56  84]
 [ 53 162  53  92]
 [ 72 162  54  67]]"
cluster0,8,1,0.2475177304964539,-0.0011711482606775458,"[[273  49  25   3]
 [294  34  11   6]
 [293  37  15  15]
 [264  31  33  27]]"
cluster0,9,1,0.25957446808510637,0.011678925230036885,"[[137  52 146  15]
 [126  42 153  24]
 [145  42 155  18]
 [153  56 114  32]]"
cluster0,1,2,0.2822695035460993,0.03906905016044482,"[[ 34  20 185 111]
 [ 27  22 200  96]
 [ 28  18 221  93]
 [ 27  18 189 121]]"
cluster0,2,2,0.25957446808510637,0.00774504054518621,"[[ 37  11 243  59]
 [ 35   9 254  47]
 [ 31  11 262  56]
 [ 30   9 258  58]]"
cluster0,3,2,0.274468085106383,0.03074550543111232,"[[  4 127 216   3]
 [  2 136 203   4]
 [  1 125 231   3]
 [  3 109 227  16]]"
cluster0,4,2,0.2872340425531915,0.04771985000604817,"[[ 60  82 149  59]
 [ 47  61 198  34]
 [ 39  69 221  31]
 [ 38  74 185  63]]"
cluster0,5,2,0.2602836879432624,0.011357792306011527,"[[  2  33  51 264]
 [  1  19  39 286]
 [  2  17  48 293]
 [  1  15  41 298]]"
cluster0,6,2,0.2425531914893617,-0.005542274870123709,"[[ 18 261  53  18]
 [  4 260  63  18]
 [  5 286  50  19]
 [  4 288  49  14]]"
cluster0,7,2,0.26170212765957446,0.01393633423017615,"[[ 23  77 149 101]
 [  9  88 152  96]
 [ 23  96 154  87]
 [ 30  90 131 104]]"
cluster0,8,2,0.2397163120567376,-0.01033718680128759,"[[257  92   0   1]
 [269  74   1   1]
 [288  69   0   3]
 [275  72   1   7]]"
cluster0,9,2,0.27092198581560284,0.023435841982395456,"[[  4  43 266  37]
 [  1  43 260  41]
 [  3  41 272  44]
 [  3  55 234  63]]"
cluster1,1,0,0.26099290780141843,0.007977529227870983,"[[  6   9 335   0]
 [  1   5 339   0]
 [  0   3 357   0]
 [  3  12 340   0]]"
cluster1,2,0,0.24184397163120566,-0.007789307587387162,"[[ 34 202 113   1]
 [ 19 232  94   0]
 [ 20 265  75   0]
 [ 20 248  87   0]]"
cluster1,3,0,0.2560283687943262,0.011055578771416608,"[[ 89 188  66   7]
 [ 79 185  75   6]
 [ 79 192  76  13]
 [134 177  33  11]]"
cluster1,4,0,0.2602836879432624,0.023051423940265603,"[[  4 283   4  59]
 [ 19 309   1  11]
 [ 12 330   1  17]
 [  8 298   1  53]]"
cluster1,5,0,0.23900709219858157,-0.00782381918284547,"[[  0 341   9   0]
 [  0 334  11   0]
 [  0 358   2   0]
 [  1 345   8   1]]"
cluster1,6,0,0.251063829787234,0.0014251367292944517,"[[ 25 139 181   5]
 [  9 169 164   3]
 [ 10 188 159   3]
 [ 11 169 174   1]]"
cluster1,7,0,0.26170212765957446,0.019043577345527862,"[[  1 256  51  42]
 [  2 230  79  34]
 [  0 261  61  38]
 [  0 241  37  77]]"
