mode,subject,run,accuracy,kappa,precision,recall,f1_score,confusion_matrix
single,1,1,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,1,mean,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,2,1,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,2,mean,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,3,1,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,3,mean,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,4,1,0.24113475177304963,0.0,0.06028368794326241,0.25,0.09714285714285714,"[[ 0 70  0  0]
 [ 0 68  0  0]
 [ 0 72  0  0]
 [ 0 72  0  0]]"
single,4,mean,0.24113475177304963,0.0,0.06028368794326241,0.25,0.09714285714285714,"[[ 0 70  0  0]
 [ 0 68  0  0]
 [ 0 72  0  0]
 [ 0 72  0  0]]"
single,5,1,0.24822695035460993,0.0,0.06205673758865248,0.25,0.09943181818181818,"[[70  0  0  0]
 [69  0  0  0]
 [72  0  0  0]
 [71  0  0  0]]"
single,5,mean,0.24822695035460993,0.0,0.06205673758865248,0.25,0.09943181818181818,"[[70  0  0  0]
 [69  0  0  0]
 [72  0  0  0]
 [71  0  0  0]]"
single,6,1,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,6,mean,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,7,1,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,7,mean,0.24468085106382978,0.0,0.061170212765957445,0.25,0.09829059829059829,"[[ 0 70  0  0]
 [ 0 69  0  0]
 [ 0 72  0  0]
 [ 0 71  0  0]]"
single,8,1,0.24822695035460993,0.0,0.06205673758865248,0.25,0.09943181818181818,"[[70  0  0  0]
 [69  0  0  0]
 [72  0  0  0]
 [71  0  0  0]]"
single,8,mean,0.24822695035460993,0.0,0.06205673758865248,0.25,0.09943181818181818,"[[70  0  0  0]
 [69  0  0  0]
 [72  0  0  0]
 [71  0  0  0]]"
single,9,1,0.2553191489361702,0.0,0.06382978723404255,0.25,0.1016949152542373,"[[ 0  0 70  0]
 [ 0  0 69  0]
 [ 0  0 72  0]
 [ 0  0 71  0]]"
single,9,mean,0.2553191489361702,0.0,0.06382978723404255,0.25,0.1016949152542373,"[[ 0  0 70  0]
 [ 0  0 69  0]
 [ 0  0 72  0]
 [ 0  0 71  0]]"
pooled,all,1,0.23916469661150513,-0.01590371455649442,0.1668636929261989,0.23810423867127495,0.13766924366997996,"[[  6  87   0 537]
 [  0  76   0 544]
 [  5  79   0 564]
 [ 19  95   1 525]]"
pooled,all,mean,0.23916469661150513,-0.01590371455649442,0.1668636929261989,0.23810423867127495,0.13766924366997996,"[[  6  87   0 537]
 [  0  76   0 544]
 [  5  79   0 564]
 [ 19  95   1 525]]"
