subject,run,tl_accuracy,baseline_accuracy,delta_accuracy,tl_kappa,baseline_kappa,delta_kappa,tl_precision,baseline_precision,delta_precision,tl_recall,baseline_recall,delta_recall,tl_f1_score,baseline_f1_score,delta_f1_score
1,0,0.48439716312056735,0.5921985815602837,-0.10780141843971636,0.31213973681914864,0.4552052010012263,-0.14306546418207766,0.48083870538592666,0.6205212355212355,-0.13968253013530885,0.483261161169918,0.5890551035682695,-0.10579394239835149,0.4769770599895961,0.5733977407246947,-0.09642068073509863
1,1,0.4652482269503546,0.3900709219858156,0.075177304964539,0.28596087070407206,0.19099324493370018,0.09496762577037188,0.45538431575123167,0.6123053941989869,-0.1569210784477552,0.46259710436532236,0.394778331826709,0.06781877253861335,0.4490547730752159,0.33860149414529267,0.11045327892992324
2,0,0.3056737588652482,0.2624113475177305,0.04326241134751774,0.07659117590985243,0.013090150418952007,0.06350102549090042,0.2387104989379687,0.18746978686003074,0.051240712077937955,0.30831521739130435,0.26032311015853576,0.04799210723276859,0.20038721181259728,0.1504822645754748,0.049904947237122466
2,1,0.43829787234042555,0.24822695035460993,0.19007092198581563,0.2510211336092125,0.0,0.2510211336092125,0.46587054641303605,0.06205673758865248,0.40381380882438356,0.43889752767814616,0.25,0.18889752767814616,0.43756892419627536,0.09943181818181818,0.3381371060144572
3,0,0.5382978723404256,0.5638297872340425,-0.025531914893616947,0.38433729283064944,0.41830317462979416,-0.033965881799144726,0.5439310647888347,0.4955191139125703,0.048411950876264376,0.5374017413660708,0.5630175983436853,-0.025615856977614482,0.5331085549406883,0.489075250156925,0.04403330478376333
3,1,0.5382978723404256,0.5070921985815603,0.031205673758865293,0.38339642160205023,0.34119901174809664,0.042197409853953594,0.5493349538601435,0.6885964912280702,-0.13926153736792668,0.5356906292829441,0.5046802554457178,0.03101037383722627,0.5219772970563172,0.4694000036652189,0.052577293391098345
4,0,0.3120567375886525,0.24468085106382978,0.06737588652482271,0.08321267696267698,-0.008800510563971686,0.09201318752664867,0.3087828373861303,0.27702020202020206,0.03176263536592827,0.3130964052287582,0.24324229691876753,0.06985410830999067,0.30383735538343326,0.19871283189774544,0.10512452348568782
4,1,0.27092198581560284,0.2907801418439716,-0.019858156028368767,0.026148884708411813,0.060939060939060985,-0.03479017623064917,0.2912555141027355,0.32802143894116287,-0.03676592483842739,0.2695214752567694,0.29662698412698413,-0.027105508870214734,0.2675779843496301,0.24721366664730046,0.020364317702329632
5,0,0.2929078014184397,0.2553191489361702,0.0375886524822695,0.05746008971015182,0.011533775099731303,0.045926314610420516,0.27917129676490915,0.18445980542754736,0.09471149133736179,0.29315882007017957,0.25903209109730846,0.03412672897287111,0.2665471444903199,0.19033128758800466,0.07621585690231525
5,1,0.27801418439716313,0.25886524822695034,0.019148936170212794,0.041476069957061545,0.014414715719063498,0.027061354237998048,0.36574308510504294,0.20118176413914682,0.16456132096589612,0.28136780829906977,0.2610248447204969,0.020342963578572848,0.2318745809287124,0.21484877351750417,0.017025807411208238
6,0,0.29432624113475175,0.23404255319148937,0.06028368794326239,0.062196063489516895,-0.016453626138904553,0.07864968962842145,0.3172730642799236,0.31038058678544334,0.0068924774944802425,0.2969955724686282,0.23791699472195493,0.059078577746673244,0.2674543016575255,0.1470024596868255,0.1204518419707
6,1,0.31063829787234043,0.2553191489361702,0.05531914893617024,0.08338070746861614,0.013378205021408518,0.07000250244720763,0.31539986601371484,0.27205882352941174,0.043341042484303094,0.3130968662214835,0.26045694456594637,0.05263992165553716,0.28823035441379435,0.14124886613471088,0.14698148827908347
7,0,0.4198581560283688,0.375886524822695,0.04397163120567377,0.22712286908973944,0.16327528364549793,0.06384758544424152,0.4221249431102097,0.41301571235781764,0.009109230752392061,0.4204002274516665,0.37057344064386316,0.049826786807803336,0.4146643058257446,0.29404771744221286,0.12061658838353173
7,1,0.4326241134751773,0.32269503546099293,0.10992907801418439,0.24437805212987584,0.09635097726700792,0.14802707486286792,0.4676233688783142,0.15285838260020612,0.31476498627810806,0.43352370260208595,0.32168008048289737,0.11184362211918858,0.43622706120863897,0.2042543352601156,0.23197272594852336
8,0,0.3425531914893617,0.3120567375886525,0.03049645390070921,0.12493890968005406,0.08427765595969405,0.04066125372036,0.404296865277913,0.4575637390149193,-0.05326687373700634,0.3438448079783046,0.3130955418501346,0.030749266128169972,0.3298037590763541,0.25281872994062693,0.07698502913572719
8,1,0.39787234042553193,0.3475177304964539,0.05035460992907803,0.19833786480586102,0.131116246357882,0.06722161844797903,0.4050783606874602,0.375100120144173,0.029978240543287238,0.3993887236462252,0.34789570757880617,0.05149301606741902,0.3930816869243034,0.27095646529905304,0.12212522162525036
9,0,0.3382978723404255,0.2872340425531915,0.051063829787234005,0.11785177833807203,0.043180283592167634,0.0746714947459044,0.34992093021065934,0.44166666666666665,-0.09174573645600731,0.3391892538807726,0.2819963257807716,0.057192928100000984,0.3400340589694866,0.1637857866445201,0.17624827232496648
9,1,0.34113475177304964,0.2801418439716312,0.06099290780141842,0.12168088187962667,0.03647349906586095,0.08520738281376572,0.35184650120739225,0.3311948468198468,0.02065165438754546,0.341738219170093,0.2775534851621808,0.06418473400791219,0.34240573217515335,0.2199797879240388,0.12242594425111455
