model,subject,run,accuracy,kappa,precision,recall,f1_score
baseline,300,0,0.4861111111111111,0.24489795918367352,0.5083333333333333,0.5079365079365079,0.4872946859903382
baseline,300,1,0.5,0.2627986348122867,0.5349590986263312,0.5075295075295075,0.5034618291761149
baseline,300,2,0.4166666666666667,0.1553072625698324,0.49722222222222223,0.44678469678469684,0.39325244785014896
baseline,301,0,0.4861111111111111,0.23139065204847076,0.5361111111111111,0.47999222999223007,0.4889414444006482
baseline,301,1,0.3333333333333333,0.011441647597254079,0.5435606060606061,0.340034965034965,0.29256854256854253
baseline,301,2,0.5694444444444444,0.34545454545454546,0.5460621250094934,0.5530303030303031,0.5155291384846622
baseline,302,0,0.4722222222222222,0.21243523316062174,0.4590159069325736,0.4628205128205128,0.4432341930507741
baseline,302,1,0.4583333333333333,0.193103448275862,0.4756728778467909,0.4576923076923077,0.46021493703864524
baseline,302,2,0.3055555555555556,0.011532125205930721,0.2281639928698752,0.3397435897435897,0.2418604651162791
baseline,303,0,0.3472222222222222,0.023658395845355007,0.453551912568306,0.34401709401709396,0.24151453684922244
baseline,303,1,0.5833333333333334,0.3582887700534759,0.7206290471785385,0.5580808080808081,0.49158003821367274
baseline,303,2,0.3472222222222222,0.05316172355903748,0.28118209474141675,0.369949494949495,0.27427427427427425
baseline,304,0,0.4166666666666667,0.12347826086956515,0.4168618266978923,0.4102564102564103,0.30944741532976827
baseline,304,1,0.4861111111111111,0.23404255319148937,0.5695415695415695,0.4855283605283605,0.48128648128648127
baseline,304,2,0.4444444444444444,0.17002881844380402,0.5234126984126984,0.442016317016317,0.4011077959506646
baseline,306,0,0.4027777777777778,0.11719418306244656,0.4036630036630036,0.4102564102564103,0.29545454545454547
baseline,306,1,0.75,0.6262975778546713,0.7567460317460318,0.7558528428093645,0.7497536171422007
baseline,306,2,0.4444444444444444,0.1773778920308483,0.7532855436081243,0.4503901895206243,0.36055088702147525
baseline,307,0,0.375,0.02409638554216864,0.2904761904761905,0.34848484848484845,0.20833333333333334
baseline,307,1,0.375,0.0229191797346201,0.4553990610328638,0.34848484848484845,0.2076796653219782
baseline,307,2,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,308,0,0.4305555555555556,0.17101937657961241,0.589626239511823,0.45037851037851034,0.42183024272576514
baseline,308,1,0.4583333333333333,0.21234221598877978,0.6205673758865248,0.4795848595848596,0.4476156918017384
baseline,308,2,0.5555555555555556,0.33275412684622074,0.6373983739837398,0.548009768009768,0.5404007111324184
baseline,309,0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666
baseline,309,1,0.5694444444444444,0.3622857142857143,0.6873433583959899,0.581973581973582,0.5400537634408602
baseline,309,2,0.3888888888888889,0.04463208685162845,0.45714285714285713,0.3611111111111111,0.23183760683760682
baseline,400,0,0.7222222222222222,0.543726235741445,0.8325027685492802,0.6175595238095238,0.5734299516908212
baseline,400,1,0.4027777777777778,0.060109289617486295,0.45893719806763283,0.3645833333333333,0.23959899749373434
baseline,400,2,0.3888888888888889,0.050359712230215736,0.45714285714285713,0.38095238095238093,0.2638888888888889
baseline,401,0,0.3194444444444444,0.09677419354838712,0.47927689594356265,0.4247474747474748,0.29458291243188267
baseline,401,1,0.3472222222222222,0.045685279187817285,0.2182795698924731,0.37222222222222223,0.2505426356589147
baseline,401,2,0.3611111111111111,0.04909560723514217,0.33816425120772947,0.37777777777777777,0.24611708482676223
baseline,402,0,0.6111111111111112,0.30674002751031626,0.7222222222222222,0.5014492753623189,0.49669030732860525
baseline,402,1,0.4305555555555556,0.1907894736842105,0.3263888888888889,0.4901960784313726,0.34263820470717016
baseline,402,2,0.4305555555555556,0.1505035971223022,0.6738351254480287,0.4319124751349815,0.36044423189329927
baseline,403,0,0.5416666666666666,0.25141776937618154,0.7695810564663024,0.49547511312217196,0.47049663299663297
baseline,403,1,0.4722222222222222,0.2639225181598063,0.33580246913580253,0.5512820512820512,0.3966321769121525
baseline,403,2,0.5416666666666666,0.35028712059064804,0.6898395721925135,0.5926821657044781,0.5469746296546011
baseline,404,0,0.4722222222222222,0.1808383233532933,0.476978498255094,0.4583333333333333,0.4266213921901529
baseline,404,1,0.4444444444444444,0.12621359223300976,0.46527777777777773,0.4146825396825397,0.3953634085213033
baseline,404,2,0.375,0.06358381502890176,0.48306878306878304,0.37936507936507935,0.2902490421455939
baseline,405,0,0.2361111111111111,0.014189693801344272,0.40845070422535207,0.3440860215053763,0.14343869731800765
baseline,405,1,0.3888888888888889,0.06465899025686461,0.5119658119658119,0.38317204301075264,0.2860484544695071
baseline,405,2,0.4166666666666667,0.054409005628517804,0.24090909090909088,0.3629032258064517,0.28488372093023256
baseline,406,0,0.6666666666666666,0.47058823529411764,0.7707602339181286,0.6323529411764706,0.6069444444444444
baseline,406,1,0.4861111111111111,0.03056768558951961,0.49295774647887325,0.34848484848484845,0.2448585231193927
baseline,406,2,0.4027777777777778,0.2073732718894008,0.31092436974789917,0.5303030303030303,0.36075436769640173
baseline,407,0,0.6111111111111112,0.3654390934844193,0.8362573099415206,0.5488888888888889,0.536260513004699
baseline,407,1,0.7777777777777778,0.6466257668711657,0.8814814814814814,0.7348148148148148,0.7542682542682543
baseline,407,2,0.4305555555555556,0.0489690721649485,0.4714285714285715,0.36000000000000004,0.244668911335578
baseline,408,0,0.3611111111111111,0.11727078891258003,0.390625,0.4197530864197531,0.28594377510040164
baseline,408,1,0.25,-0.022619673855865274,0.0857142857142857,0.3157894736842105,0.1348314606741573
baseline,408,2,0.2916666666666667,0.03164556962025322,0.3140096618357488,0.35802469135802467,0.1883838383838384
baseline,409,0,0.3888888888888889,0.0,0.12962962962962962,0.3333333333333333,0.18666666666666668
baseline,409,1,0.5416666666666666,0.2693726937269373,0.552123552123552,0.5,0.5012900143334925
baseline,409,2,0.3888888888888889,0.0,0.12962962962962962,0.3333333333333333,0.18666666666666668
