model,subject,run,accuracy,kappa,precision,recall,f1_score
baseline,300,0,0.3472222222222222,0.09129967776584313,0.5036075036075035,0.39865689865689863,0.30994743984824286
baseline,301,0,0.5555555555555556,0.319952774498229,0.4732868757259001,0.5303030303030303,0.4713501458226111
baseline,302,0,0.5277777777777778,0.2928942807625651,0.5394152046783626,0.517948717948718,0.4828042328042328
baseline,303,0,0.3472222222222222,0.05685618729096997,0.4396135265700483,0.3717948717948718,0.2301376784135405
baseline,304,0,0.4444444444444444,0.16230366492146597,0.42328042328042326,0.4358974358974359,0.33628899835796383
baseline,306,0,0.4583333333333333,0.18466898954703825,0.42084942084942084,0.451505016722408,0.40864197530864194
baseline,307,0,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,308,0,0.5277777777777778,0.29064039408866993,0.6327751196172249,0.5223687423687423,0.5076604554865424
baseline,309,0,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,400,0,0.5277777777777778,0.27787610619469016,0.5758558558558559,0.535599816849817,0.5048928527189397
baseline,401,0,0.25,0.03355704697986572,0.5491071428571429,0.36287878787878786,0.20226743208512477
baseline,402,0,0.5138888888888888,0.2279411764705883,0.375,0.45652173913043476,0.38319572608062163
baseline,403,0,0.6388888888888888,0.41463414634146345,0.7792592592592592,0.5797576324959692,0.5753922589365628
baseline,404,0,0.4027777777777778,0.0444444444444444,0.41111111111111115,0.36626984126984125,0.3066045066045066
baseline,405,0,0.3888888888888889,0.039999999999999925,0.2512315270935961,0.3604301075268817,0.25881302989736726
baseline,406,0,0.3055555555555556,0.0,0.10185185185185186,0.3333333333333333,0.15602836879432624
baseline,407,0,0.3472222222222222,0.0,0.11574074074074074,0.3333333333333333,0.17182130584192437
baseline,408,0,0.5694444444444444,0.3571428571428571,0.60375,0.5766231818863398,0.5676966711449469
baseline,409,0,0.3888888888888889,0.0,0.12962962962962962,0.3333333333333333,0.18666666666666668
baseline,410,0,0.5555555555555556,0.36,0.7019400352733687,0.6259259259259259,0.5144781144781144
baseline,411,0,0.4027777777777778,0.07857142857142851,0.42817059483726155,0.3938697318007663,0.4030377668308703
baseline,412,0,0.4027777777777778,0.07360861759425508,0.34848484848484845,0.384004884004884,0.27992485238862047
baseline,413,0,0.5277777777777778,0.31543624161073824,0.5931372549019608,0.5863095238095238,0.4775537634408602
baseline,414,0,0.3055555555555556,0.013157894736842035,0.22395833333333334,0.3432539682539682,0.21151960784313725
baseline,415,0,0.3194444444444444,0.03973870440936311,0.2913978494623656,0.3574074074074074,0.24631949022192923
baseline,416,0,0.4861111111111111,0.23028026581912742,0.627763041556145,0.4812942612942612,0.44067197170645445
baseline,417,0,0.3888888888888889,0.031192660550458662,0.24154589371980675,0.35294117647058826,0.22083333333333333
baseline,418,0,0.2222222222222222,0.0,0.07407407407407407,0.3333333333333333,0.12121212121212122
baseline,419,0,0.7361111111111112,0.5565640194489465,0.4990820875950695,0.6041666666666666,0.5398381574852164
baseline,420,0,0.2916666666666667,0.09467455621301779,0.6919642857142857,0.41379310344827586,0.252991452991453
baseline,421,0,0.3055555555555556,0.0,0.10185185185185186,0.3333333333333333,0.15602836879432624
baseline,422,0,0.4027777777777778,0.14991762767710048,0.5312726519623071,0.4305555555555555,0.39036274696652057
baseline,423,0,0.4861111111111111,0.2861736334405144,0.3436363636363637,0.6041666666666666,0.4317738791423002
baseline,424,0,0.3611111111111111,0.016042780748663055,0.3663003663003663,0.3395061728395062,0.29188243191407753
baseline,425,0,0.8194444444444444,0.7189189189189189,0.8602150537634409,0.7901234567901234,0.8013136288998358
baseline,426,0,0.3194444444444444,-0.05031259303364077,0.17611940298507464,0.30444444444444446,0.1784679089026915
baseline,427,0,0.6805555555555556,0.4722753346080306,0.4624242424242424,0.6296296296296297,0.5317269076305221
baseline,428,0,0.4722222222222222,0.13636363636363635,0.4293040293040293,0.4047619047619047,0.3150025601638505
baseline,429,0,0.3888888888888889,0.07476635514018692,0.2261904761904762,0.3846153846153846,0.2634920634920635
baseline,430,0,0.4027777777777778,-0.03649146300636108,0.1912087912087912,0.3138957816377171,0.21464646464646467
baseline,431,0,0.4166666666666667,0.09515260323159791,0.4626865671641791,0.40740740740740744,0.3075920495275334
baseline,432,0,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,433,0,0.4722222222222222,0.21084511104701487,0.4363472784525417,0.4794685990338164,0.40329218106995884
baseline,434,0,0.8472222222222222,0.7731958762886598,0.8658008658008658,0.8662068965517241,0.8463236049893285
baseline,435,0,0.2638888888888889,0.045522761380690335,0.7439613526570049,0.3700854700854701,0.19461462004156502
baseline,436,0,0.4722222222222222,0.21379310344827585,0.31475748194014447,0.5111111111111111,0.38095238095238093
baseline,437,0,0.4444444444444444,0.12061068702290079,0.582905982905983,0.4163292847503374,0.3345827086456772
baseline,438,0,0.5833333333333334,0.39291736930860033,0.7569444444444445,0.6056410256410256,0.5592035360618811
baseline,439,0,0.4444444444444444,0.0,0.14814814814814814,0.3333333333333333,0.20512820512820515
baseline,440,0,0.4861111111111111,0.15535827520608758,0.3237102379043037,0.41421881651766707,0.36111111111111116
baseline,441,0,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,442,0,0.3055555555555556,0.0,0.10185185185185186,0.3333333333333333,0.15602836879432624
baseline,443,0,0.4444444444444444,0.17383820998278843,0.2887700534759358,0.456140350877193,0.33796296296296297
baseline,444,0,0.3194444444444444,0.0,0.10648148148148147,0.3333333333333333,0.16140350877192983
baseline,445,0,0.875,0.8108581436077058,0.8769230769230769,0.8829323308270677,0.8792246243226636
baseline,446,0,0.4305555555555556,0.05141388174807193,0.2916666666666667,0.35722819593787336,0.31856590065545287
baseline,447,0,0.3055555555555556,0.07288179242853454,0.4843954248366013,0.3913352676793537,0.29542171867753264
baseline,448,0,0.3055555555555556,0.004149377593361092,0.38784722222222223,0.35529100529100527,0.23935384451883734
baseline,449,0,0.3194444444444444,0.0,0.10648148148148147,0.3333333333333333,0.16140350877192983
baseline,450,0,0.2361111111111111,0.03083700440528636,0.26965174129353237,0.3645833333333333,0.16928039150261373
baseline,451,0,0.2777777777777778,0.0,0.0925925925925926,0.3333333333333333,0.14492753623188406
baseline,452,0,0.4583333333333333,0.21476510067114096,0.3194444444444444,0.49143610013175226,0.37487335359675783
baseline,453,0,0.4305555555555556,0.0,0.14351851851851852,0.3333333333333333,0.2006472491909385
baseline,454,0,0.5416666666666666,0.31547104580812446,0.5467980295566502,0.598008658008658,0.5318509114458102
baseline,455,0,0.3333333333333333,0.09906152241918664,0.30049261083743845,0.41250000000000003,0.2714987714987715
baseline,456,0,0.375,0.06574394463667832,0.4492753623188406,0.3833333333333333,0.2589995324918186
baseline,457,0,0.4305555555555556,0.0,0.14351851851851852,0.3333333333333333,0.2006472491909385
baseline,458,0,0.4583333333333333,0.1841952353282975,0.6877394636015325,0.45639187574671447,0.3799980859412384
baseline,459,0,0.3888888888888889,0.04635761589403986,0.45714285714285713,0.3650793650793651,0.23852657004830916
baseline,460,0,0.4444444444444444,0.1091865140736159,0.40597014925373137,0.4222222222222222,0.32982456140350874
baseline,461,0,0.4583333333333333,0.219349457881568,0.6432748538011696,0.47901234567901235,0.3823999201357691
baseline,500,0,0.4722222222222222,0.08249496981891358,0.4830917874396135,0.38095238095238093,0.29
baseline,501,0,0.3194444444444444,0.0,0.10648148148148147,0.3333333333333333,0.16140350877192983
baseline,502,0,0.5277777777777778,0.31177958954174867,0.3694199411921946,0.5638998682476943,0.4432560903149138
baseline,503,0,0.4166666666666667,0.15246636771300448,0.5499999999999999,0.4727943046020849,0.40972222222222215
baseline,504,0,0.4305555555555556,0.0,0.14351851851851852,0.3333333333333333,0.2006472491909385
baseline,505,0,0.375,0.0,0.125,0.3333333333333333,0.1818181818181818
baseline,506,0,0.4166666666666667,0.18004338394793917,0.3125,0.48333333333333334,0.34848484848484845
baseline,507,0,0.5138888888888888,0.30213237330379394,0.655103668261563,0.5503823661718398,0.5095238095238095
