model,subject,run,accuracy,kappa,precision,recall,f1_score
baseline,300,0,0.3472222222222222,0.07540983606557372,0.5884353741496599,0.3845136345136346,0.30071125852220376
baseline,301,0,0.5694444444444444,0.34545454545454546,0.5611991301646474,0.5507964257964258,0.5117663757008019
baseline,302,0,0.4305555555555556,0.16326530612244894,0.46759259259259256,0.4358974358974359,0.43167701863354035
baseline,303,0,0.4583333333333333,0.18890814558058933,0.5326797385620915,0.4512432012432012,0.4061998132586368
baseline,304,0,0.4166666666666667,0.12347826086956515,0.4168618266978923,0.4102564102564103,0.30944741532976827
baseline,306,0,0.4444444444444444,0.13901345291479827,0.3420765027322404,0.4202898550724638,0.320445837687217
baseline,307,0,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,308,0,0.5416666666666666,0.31130434782608707,0.6364749082007344,0.5351892551892551,0.5244008714596949
baseline,309,0,0.3611111111111111,0.0012062726176117478,0.12206572769953052,0.3333333333333333,0.17869415807560138
baseline,400,0,0.4305555555555556,-0.022869022869022926,0.14553990610328638,0.3229166666666667,0.2006472491909385
baseline,401,0,0.3611111111111111,0.05398457583547556,0.25273631840796024,0.37777777777777777,0.24249084249084252
baseline,402,0,0.3055555555555556,0.07192575406032475,0.5942475603492553,0.3989201477692526,0.26834834834834836
baseline,403,0,0.4583333333333333,0.10172744721689064,0.8088235294117648,0.39819004524886875,0.31710720099217116
baseline,404,0,0.3333333333333333,0.05054945054945059,0.27011494252873564,0.37142857142857144,0.25384615384615383
baseline,405,0,0.4444444444444444,0.11602209944751385,0.2931839402427638,0.4034408602150538,0.31713900134952766
baseline,406,0,0.3055555555555556,0.0,0.10185185185185186,0.3333333333333333,0.15602836879432624
baseline,407,0,0.3472222222222222,0.0,0.11574074074074074,0.3333333333333333,0.17182130584192437
baseline,408,0,0.5138888888888888,0.24955330553901123,0.5238095238095238,0.4998000699755085,0.44352544431658353
baseline,409,0,0.3888888888888889,0.0,0.12962962962962962,0.3333333333333333,0.18666666666666668
baseline,410,0,0.5,0.16279069767441856,0.48484848484848486,0.4444444444444444,0.375
baseline,411,0,0.375,0.041703637976929775,0.5608465608465608,0.3718773946360154,0.3
baseline,412,0,0.3888888888888889,0.049219687875149964,0.37254901960784315,0.36813186813186816,0.2573049645390071
baseline,413,0,0.3888888888888889,0.0,0.13145539906103285,0.3333333333333333,0.18855218855218855
baseline,414,0,0.3472222222222222,0.06699751861042169,0.5906277630415562,0.38139329805996475,0.2838163660948471
baseline,415,0,0.3194444444444444,-0.018475750577367167,0.20625000000000002,0.3141975308641975,0.24894756984309221
baseline,416,0,0.4583333333333333,0.2206494587843464,0.709551656920078,0.48720390720390716,0.4333057623380204
baseline,417,0,0.375,0.025856885147324093,0.34964726631393295,0.36808797593111325,0.3131392604248623
baseline,418,0,0.3888888888888889,0.0,0.12962962962962962,0.3333333333333333,0.18666666666666668
baseline,419,0,0.4444444444444444,0.0,0.14814814814814814,0.3333333333333333,0.20512820512820515
baseline,420,0,0.4305555555555556,0.1744966442953021,0.4495614035087719,0.5041050903119868,0.3745228974342871
baseline,421,0,0.5,0.03175196115054146,0.49765258215962443,0.34848484848484845,0.24911129340989882
baseline,422,0,0.4166666666666667,0.0,0.1388888888888889,0.3333333333333333,0.19607843137254902
baseline,423,0,0.2222222222222222,0.0,0.07407407407407407,0.3333333333333333,0.12121212121212122
