model,subject,run,accuracy,kappa,precision,recall,f1_score
baseline,300,0,0.5138888888888888,0.2832764505119453,0.5296296296296297,0.527879527879528,0.5110386473429952
baseline,300,1,0.4722222222222222,0.2262443438914028,0.5132908027644869,0.48371998371998376,0.4770152505446623
baseline,300,2,0.4027777777777778,0.14095449500554946,0.4781746031746032,0.4357956857956858,0.38915032679738565
baseline,301,0,0.6388888888888888,0.45070422535211274,0.6354166666666666,0.6195609945609947,0.5893541324575807
baseline,301,1,0.4305555555555556,0.1151079136690647,0.5264550264550264,0.4053030303030303,0.3147565543071161
baseline,301,2,0.6111111111111112,0.41632889403590045,0.599251443001443,0.6033411033411032,0.553692566267744
baseline,302,0,0.2777777777777778,-0.026315789473684292,0.17857142857142858,0.317948717948718,0.20384294068504594
baseline,302,1,0.3333333333333333,0.02866779089376048,0.5380371660859465,0.35384615384615387,0.3112241693360969
baseline,302,2,0.5416666666666666,0.3076923076923077,0.5186507936507936,0.5230769230769231,0.5202469135802469
baseline,303,0,0.5694444444444444,0.3504074505238649,0.5813492063492064,0.5538073038073038,0.5132466066708248
baseline,303,1,0.4861111111111111,0.24957746478873255,0.7909604519774011,0.5010683760683761,0.418262941303877
baseline,303,2,0.4861111111111111,0.22513089005235598,0.4666666666666666,0.47222222222222215,0.4078762306610408
baseline,304,0,0.4305555555555556,0.14484356894553874,0.42959770114942525,0.4230769230769231,0.33237685318029647
baseline,304,1,0.5138888888888888,0.2853091321610889,0.6362065830150937,0.525932400932401,0.5115138021316511
baseline,304,2,0.4027777777777778,0.12244897959183676,0.5213687022197661,0.40977078477078477,0.403165178908886
baseline,306,0,0.6111111111111112,0.416159860990443,0.7475757575757576,0.6075808249721293,0.5410729159631705
baseline,306,1,0.5555555555555556,0.33275412684622063,0.7115151515151515,0.5512820512820512,0.49815027426967723
baseline,306,2,0.5694444444444444,0.35862068965517235,0.7366666666666667,0.5741360089186176,0.5384528870594057
baseline,307,0,0.375,0.024683925346176916,0.2922705314009662,0.34848484848484845,0.210233918128655
baseline,307,1,0.375,0.0229191797346201,0.4553990610328638,0.34848484848484845,0.2076796653219782
baseline,307,2,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,308,0,0.5,0.2534562211981567,0.6222222222222222,0.5012942612942612,0.48962627786157203
baseline,308,1,0.5,0.2700647704871867,0.6375598086124402,0.5185592185592186,0.49730269730269727
baseline,308,2,0.5416666666666666,0.31050493325594897,0.6296296296296297,0.5326495726495727,0.5174036913167348
baseline,309,0,0.6111111111111112,0.4091441969519344,0.4715151515151515,0.5886752136752137,0.49887387387387383
baseline,309,1,0.3888888888888889,0.047504509921827975,0.5718954248366013,0.3623737373737374,0.23773049645390074
baseline,309,2,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,400,0,0.4027777777777778,0.06859205776173283,0.6274509803921569,0.3913690476190476,0.2873383395911556
baseline,400,1,0.5138888888888888,0.22365988909426981,0.3127450980392157,0.4791666666666667,0.37821875738247107
baseline,400,2,0.4583333333333333,0.03105590062111796,0.48356807511737093,0.35714285714285715,0.25156418554476806
baseline,401,0,0.3888888888888889,0.17757009345794394,0.6037037037037037,0.5017676767676768,0.3484967320261438
baseline,401,1,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666
baseline,401,2,0.4305555555555556,0.15463917525773196,0.44722222222222224,0.4396464646464646,0.4272405820753434
baseline,402,0,0.5,0.060188542422044966,0.49523809523809526,0.36231884057971014,0.2712820512820513
baseline,402,1,0.5416666666666666,0.18796992481203,0.3774193548387097,0.4568627450980392,0.38916666666666666
baseline,402,2,0.20833333333333334,0.0,0.06944444444444445,0.3333333333333333,0.1149425287356322
baseline,403,0,0.5555555555555556,0.32095490716180375,0.6263616557734205,0.5740625162531856,0.5340545721670948
baseline,403,1,0.5,0.17557251908396942,0.8153846153846155,0.4434389140271493,0.39456264775413713
baseline,403,2,0.6111111111111112,0.4460016488046167,0.7295210767233722,0.6567847298070422,0.6180165731087944
baseline,404,0,0.3055555555555556,0.010989010989010839,0.3498366013071896,0.34047619047619043,0.27185943946507324
baseline,404,1,0.4583333333333333,0.20498301245753114,0.6349206349206349,0.48214285714285715,0.3988268923785128
baseline,404,2,0.4305555555555556,0.16891891891891886,0.47376047376047375,0.4507936507936508,0.42705562067062325
baseline,405,0,0.2222222222222222,-0.011286681715575675,0.18357487922705315,0.323252688172043,0.13725490196078433
baseline,405,1,0.4027777777777778,0.07277628032345018,0.6421744324970131,0.3812634408602151,0.2987942303358125
baseline,405,2,0.3611111111111111,-0.0036363636363636598,0.22167487684729062,0.3363440860215054,0.23596608656849624
baseline,406,0,0.2222222222222222,0.0,0.07407407407407407,0.3333333333333333,0.12121212121212122
baseline,406,1,0.3055555555555556,0.0,0.10185185185185186,0.3333333333333333,0.15602836879432624
