model,subject,run,accuracy,kappa,precision,recall,f1_score
baseline,300,0,0.4305555555555556,0.17264573991031396,0.5444444444444444,0.4586894586894587,0.4047349556687417
baseline,300,1,0.3888888888888889,0.12097669256381804,0.5879546809779368,0.42205942205942204,0.3591901681217679
baseline,300,2,0.4027777777777778,0.1433314886552296,0.48371170173495753,0.4357956857956858,0.38977558236409315
baseline,301,0,0.5277777777777778,0.2904347826086957,0.5709844913575186,0.516996891996892,0.5150135824554429
baseline,301,1,0.4305555555555556,0.11457708458308347,0.6333333333333333,0.4053030303030303,0.3158323158323158
baseline,301,2,0.3194444444444444,0.008988764044943753,0.5509259259259259,0.33624708624708627,0.2791979949874686
baseline,302,0,0.5,0.25773195876288657,0.5101960784313725,0.49615384615384617,0.49239702082383346
baseline,302,1,0.4722222222222222,0.21107266435986172,0.4793756967670011,0.4666666666666666,0.4696835255841467
baseline,302,2,0.4583333333333333,0.19031141868512114,0.4710567210567211,0.45,0.4570048309178744
baseline,303,0,0.4444444444444444,0.16424840394660478,0.4619883040935672,0.4337606837606838,0.3662551440329218
baseline,303,1,0.3194444444444444,-0.014959723820483495,0.12365591397849462,0.3194444444444445,0.17829457364341084
baseline,303,2,0.4583333333333333,0.1592814371257485,0.37777777777777777,0.4305555555555556,0.3388052895576836
baseline,304,0,0.4305555555555556,0.1463273568536727,0.46809764309764307,0.42433954933954937,0.3528531053090897
baseline,304,1,0.4583333333333333,0.18277066356228167,0.4290322580645161,0.44871794871794873,0.35271317829457366
baseline,304,2,0.3472222222222222,0.04783342712436689,0.48047201336675016,0.35994560994561,0.31528675169536985
baseline,306,0,0.6805555555555556,0.5136563876651983,0.7200870493553421,0.6683389074693422,0.6464414040906578
baseline,306,1,0.6666666666666666,0.5030198446937015,0.7941176470588235,0.6705685618729097,0.6671498866815035
baseline,306,2,0.5694444444444444,0.359724612736661,0.6813492063492063,0.5758082497212932,0.5515222649025466
baseline,307,0,0.375,0.02409638554216864,0.2904761904761905,0.34848484848484845,0.20833333333333334
baseline,307,1,0.375,0.0229191797346201,0.4553990610328638,0.34848484848484845,0.2076796653219782
baseline,307,2,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,308,0,0.5138888888888888,0.2758620689655171,0.6322537112010796,0.5171672771672772,0.5033673043685559
baseline,308,1,0.5,0.26363636363636356,0.6322751322751322,0.508913308913309,0.4975887740067891
baseline,308,2,0.4305555555555556,0.1635024086143383,0.583170890188434,0.4427594627594627,0.4293324378070141
baseline,309,0,0.3055555555555556,0.0,0.10185185185185186,0.3333333333333333,0.15602836879432624
baseline,309,1,0.3055555555555556,0.0,0.10185185185185186,0.3333333333333333,0.15602836879432624
baseline,309,2,0.6666666666666666,0.5002891844997108,0.6783524904214558,0.6644327894327894,0.656443774090833
baseline,400,0,0.4444444444444444,0.0,0.14814814814814814,0.3333333333333333,0.20512820512820515
baseline,400,1,0.5833333333333334,0.3513513513513513,0.6185260083136727,0.5566620879120879,0.5060885885885886
baseline,400,2,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,401,0,0.2222222222222222,0.013215859030836885,0.40375586854460094,0.3434343434343434,0.13588691290469676
baseline,401,1,0.3472222222222222,0.12558139534883705,0.2647714604236343,0.4305555555555555,0.3092896174863388
baseline,401,2,0.3472222222222222,0.025906735751295318,0.28095238095238095,0.35555555555555557,0.2094284522319566
baseline,402,0,0.3611111111111111,0.1463917525773195,0.25757575757575757,0.46956521739130436,0.3185997562866955
baseline,402,1,0.5277777777777778,0.1352878841398799,0.43582089552238806,0.4222222222222222,0.3577557755775578
baseline,402,2,0.6666666666666666,0.4488038277511961,0.6784577723378215,0.6184711565785735,0.6354401154401155
baseline,403,0,0.4861111111111111,0.14615384615384608,0.4010416666666667,0.4102564102564103,0.3255323634830276
baseline,403,1,0.5555555555555556,0.3167259786476868,0.7048748353096178,0.5786654184220107,0.5237606837606837
baseline,403,2,0.4861111111111111,0.16068052930056698,0.7569444444444445,0.4455193217870703,0.39326342972906786
baseline,404,0,0.4722222222222222,0.1688942891859052,0.5471035137701804,0.4488095238095238,0.41757354877624014
baseline,404,1,0.3194444444444444,0.04648648648648657,0.2498758072528564,0.36944444444444446,0.24338624338624337
baseline,404,2,0.4166666666666667,0.056179775280899014,0.5,0.3678571428571429,0.2856484758598218
baseline,405,0,0.2361111111111111,0.0030211480362537513,0.24019607843137256,0.334005376344086,0.15714285714285714
